ei	N CTs	N variants g	N PMIDs Chemicals	Gene	pLI	Gene Full Name	First Ref.	Last Ref.	N Chemicals	N PMIDs	score	N diseases g	My Score	DSI g	DPI g	N variants gda
0.9473684210526315	1	158	0	CYP19A1	0.015987	cytochrome P450 family 19 subfamily A member 1	2009	2011	0	2	1.0	42		0.44	0.88	0
0.84	2	123	0	IGF1	0.75878	insulin like growth factor 1	2011	2011	0	1	1.0	73		0.31	0.92	3
0.8888888888888888	3	186	0	ESR1	0.99791	estrogen receptor 1			0	0	1.0	81		0.34	0.92	1
0.9080459770114943	1	7	0	PGR	0.71712	progesterone receptor	2011	2011	0	2	0.95	14		0.4	0.88	0
0.9206349206349206	2	18	0	ESR2	5.8401E-10	estrogen receptor 2	2007	2007	0	1	0.9	51		0.4	0.88	0
0.9583333333333334	3	219	0	KRAS	0.99914	KRAS proto-oncogene, GTPase	2013	2013	0	1	0.9	134		0.32	0.88	0
0.8641975308641975	18	9	0	TNF	0.85687	tumor necrosis factor			0	0	0.9	315		0.25	0.96	1
0.8285714285714286	6	51	0	IL10	0.48334	interleukin 10	2019	2019	0	1	0.85	129		0.29	0.96	0
1.0	6	0	0	PRL	1.8838E-9	prolactin	2002	2002	0	1	0.85	43		0.4	0.92	0
0.8596491228070176	8	5	0	IL1B	0.48761	interleukin 1 beta			0	0	0.85	166		0.28	0.96	1
0.8181818181818182	1	602	0	EGFR	0.98131	epidermal growth factor receptor	2011	2011	0	1	0.8	104		0.29	0.88	0
0.9411764705882353	1	389	0	TGFB2	0.99606	transforming growth factor beta 2	2011	2011	0	1	0.8	41		0.33	0.88	0
0.9803921568627451	0	4	0	PTGS2	1.0	prostaglandin-endoperoxide synthase 2	2015	2015	0	1	0.8	147		0.34	0.88	0
0.9411764705882353	0	29	0	GREB1	7.2814E-15	growth regulating estrogen receptor binding 1	2012	2012	0	1	0.8	2		0.61	0.58	7
1.0	0	128	0	NR5A1	0.99998	nuclear receptor subfamily 5 group A member 1	2007	2007	0	1	0.75	24		0.48	0.83	0
0.9	1	1	0	IGFBP1	3.2836E-14	insulin like growth factor binding protein 1	2011	2011	0	1	0.75	11		0.46	0.88	0
0.6	1	2	0	CCL11	0.012661	C-C motif chemokine ligand 11	2019	2019	0	1	0.75	16		0.43	0.92	0
1.0	0	0	0	PTGER2	2.1577E-7	prostaglandin E receptor 2	2009	2009	0	1	0.75	5		0.38	0.88	0
1.0	1	2	0	ITGB1	0.99977	integrin subunit beta 1	2011	2011	0	1	0.7	16		0.44	0.83	0
0.75	0	1	0	HSD17B1	8.615E-5	hydroxysteroid 17-beta dehydrogenase 1	2009	2009	0	1	0.7	4		0.62	0.54	0
0.8333333333333334	2	2	0	IL15	0.002307	interleukin 15	2011	2011	0	1	0.7	9		0.41	0.92	0
0.8333333333333334	1	1	0	MIR21		microRNA 21	2011	2011	0	1	0.7	17		0.39	0.88	0
1.0	1	10	0	ABI3BP	8.88E-43	ABI family member 3 binding protein	2011	2011	0	1	0.7	5		0.48	0.88	0
1.0	1	0	0	IDO1	4.6979E-5	indoleamine 2,3-dioxygenase 1	2011	2011	0	1	0.7	13		0.42	0.92	0
0.75	0	93	0	SERPINF1	1.8885E-8	serpin family F member 1			0	0	0.7	37		0.46	0.88	0
1.0	0	16	0	IL1R1	0.71728	interleukin 1 receptor type 1	2011	2011	0	2	0.65	11		0.47	0.88	0
0.75	0	22	0	NCOA1	1.0	nuclear receptor coactivator 1	2012	2012	0	1	0.65	3		0.54	0.83	0
0.75	0	7	0	CNR1	0.31479	cannabinoid receptor 1	2011	2011	0	1	0.65	52		0.46	0.88	0
1.0	0	9	0	KLF9	0.99727	KLF transcription factor 9	2011	2011	0	1	0.65	4		0.56	0.83	0
