stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000006053	9606.ENSP00000267843	CX3CL1	FGF7	9606	0.402	0	0	0	0.076	0.045	0	0.376
9606.ENSP00000006053	9606.ENSP00000295897	CX3CL1	ALB	9606	0.403	0	0	0	0	0	0	0.403
9606.ENSP00000006053	9606.ENSP00000259206	CX3CL1	IL1RN	9606	0.404	0	0	0	0.09	0	0	0.372
9606.ENSP00000006053	9606.ENSP00000430950	CX3CL1	IDO1	9606	0.407	0	0	0	0.098	0	0	0.37
9606.ENSP00000006053	9606.ENSP00000312652	CX3CL1	LEP	9606	0.411	0	0	0	0	0	0	0.411
9606.ENSP00000006053	9606.ENSP00000498227	CX3CL1	SELL	9606	0.414	0	0	0	0	0.045	0	0.411
9606.ENSP00000006053	9606.ENSP00000380070	CX3CL1	GAPDH	9606	0.418	0	0	0	0	0	0	0.418
9606.ENSP00000006053	9606.ENSP00000276927	CX3CL1	IFNA1	9606	0.423	0	0	0	0	0	0	0.423
9606.ENSP00000006053	9606.ENSP00000226574	CX3CL1	NFKB1	9606	0.424	0	0	0	0.062	0.095	0	0.377
9606.ENSP00000006053	9606.ENSP00000335062	CX3CL1	PDCD1	9606	0.426	0	0	0.268	0.042	0	0	0.248
9606.ENSP00000006053	9606.ENSP00000361359	CX3CL1	CD40	9606	0.428	0	0	0	0.056	0	0	0.419
9606.ENSP00000006053	9606.ENSP00000255030	CX3CL1	CRP	9606	0.432	0	0	0	0.042	0	0	0.432
9606.ENSP00000006053	9606.ENSP00000337065	CX3CL1	CXCL14	9606	0.435	0	0	0	0.072	0	0	0.416
9606.ENSP00000006053	9606.ENSP00000416996	CX3CL1	ACKR2	9606	0.441	0	0	0	0.049	0	0	0.436
9606.ENSP00000006053	9606.ENSP00000379350	CX3CL1	ITGB1	9606	0.441	0	0	0	0	0.294	0	0.24
9606.ENSP00000006053	9606.ENSP00000384273	CX3CL1	RELA	9606	0.442	0	0	0	0	0.328	0	0.203
9606.ENSP00000006053	9606.ENSP00000386380	CX3CL1	IL1R1	9606	0.446	0	0	0	0.086	0	0	0.419
9606.ENSP00000006053	9606.ENSP00000376637	CX3CL1	IGF1	9606	0.448	0	0	0	0.058	0	0	0.438
9606.ENSP00000006053	9606.ENSP00000218388	CX3CL1	TIMP1	9606	0.45	0	0	0	0	0	0	0.45
9606.ENSP00000006053	9606.ENSP00000454623	CX3CL1	ITGAX	9606	0.45	0	0	0	0.055	0	0	0.442
9606.ENSP00000006053	9606.ENSP00000451828	CX3CL1	AKT1	9606	0.451	0	0	0	0	0.084	0	0.425
9606.ENSP00000006053	9606.ENSP00000302935	CX3CL1	IL16	9606	0.456	0	0	0	0	0.049	0	0.451
9606.ENSP00000006053	9606.ENSP00000284981	CX3CL1	APP	9606	0.457	0	0	0	0.105	0	0	0.418
9606.ENSP00000006053	9606.ENSP00000358525	CX3CL1	NGF	9606	0.462	0	0	0	0	0	0	0.462
9606.ENSP00000006053	9606.ENSP00000332049	CX3CL1	CD86	9606	0.465	0	0	0	0.07	0	0	0.448
9606.ENSP00000006053	9606.ENSP00000370842	CX3CL1	IL33	9606	0.479	0	0	0	0.122	0	0	0.431
